Schist	#a9b497
Schooner	#8b847e
Scooter	#2ebfd4
Scorpion	#695f62
Scotch Mist	#fffbdc
Scrub	#2e3222
Sea Buckthorn	#fba129
Sea Fog	#fcfff9
Sea Green	#95859
Sea Mist	#c5dbca
Sea Nymph	#78a39c
Sea Pink	#ed989e
Seagull	#80ccea
Seance	#731e8f
Seashell	#f1f1f1
Seaweed	#1b2f11
Selago	#f0eefd
Sepia	#2b0202
Serenade	#fff4e8
Shadow Green	#9ac2b8
Shady Lady	#aaa5a9
Shakespeare	#4eabd1
Shalimar	#fbffba
Shark	#25272c
Sherpa Blue	#4950
Sherwood Green	#2402c
Shilo	#e8b9b3
Shingle Fawn	#6b4e31
Ship Cove	#788bba
Ship Grey	#3e3a44
Shiraz	#b20931
Shocking	#e292c0
Shuttle Grey	#5f6672
Siam	#646a54
Sidecar	#f3e7bb
Silk	#bdb1a8
Silver Chalice	#acacac
Silver Sand	#bfc1c2
Silver Tree	#66b58f
Sinbad	#9fd7d3
Siren	#7a013a
Sirocco	#718080
Sisal	#d3cbba
Skeptic	#cae6da
Slugger	#412010
Smalt Blue	#51808f
Smoke Tree	#da6304
Smokey Ash	#413c37
Smoky	#605b73
Snow Drift	#f7faf7
Snow Flurry	#e4ffd1
Snowy Mint	#d6ffdb
Snuff	#e2d8ed
Soapstone	#fffbf9
Soft Amber	#d1c6b4
Soft Peach	#f5edef
Solid Pink	#893843
Solitaire	#fef8e2
Solitude	#eaf6ff
